day,user_lat,user_lon,name,address,location_lat,location_lon,distance_km,route_minutes,elevation,elevation_category,weather_score,final_score
2025-12-16,40.37092,-3.69664,Parque Antonio Pirala,CALLE ANTONIO PIRALA 8,40.428652595625735,-3.659649292346212,7.14,123.2,647.8847045898438,llano,24,4.53
2025-12-16,40.37092,-3.69664,Parque Anunciación,CALLE ANUNCIACION 1,40.41192841997151,-3.67583331713166,4.89,87.4,658.460205078125,moderado,24,10.37
2025-12-16,40.37092,-3.69664,Parque Arquitecto Antonio Palacios,CALLE FENELON 17,40.43847239256322,-3.6087501533089923,10.57,180.3,660.0264282226562,moderado,24,-4.6
2025-12-16,40.37092,-3.69664,Parque Arroyo Fontarrón,CALLE ARROYO FONTARRON 22,40.39476596114844,-3.6361646051817518,5.77,115.8,671.8313598632812,moderado,24,6.65
2025-12-16,40.37092,-3.69664,Parque Arroyo Fresno - Tomás y Valiente,AVENIDA VENTISQUERO DE LA CONDESA 43,40.49284296962057,-3.7169069720385446,13.67,218.4,676.65576171875,moderado,24,-11.51
2025-12-16,40.37092,-3.69664,Parque Arroyo Pozuelo,Calle Arroyo Pozuelo ,40.45451429342977,-3.7856220495572703,11.96,197.0,630.7147827148438,llano,24,-7.66
2025-12-16,40.37092,-3.69664,Parque Arroyo de los Pinos,CALLE JOAQUIN LORENZO 21,40.47343735166941,-3.7241915440169024,11.64,189.6,640.64697265625,llano,24,-6.59
2025-12-16,40.37092,-3.69664,Parque Avenida de Portugal,AUTOVIA A-5 300,40.41214880704316,-3.7356620312409365,5.65,102.5,637.8292846679688,llano,24,8.1
2025-12-16,40.37092,-3.69664,Parque Azorín,AVENIDA ALBUFERA 142,40.39144717132174,-3.6545377410677498,4.23,86.0,653.034912109375,moderado,24,11.17
2025-12-16,40.37092,-3.69664,Parque Barrio Las Musas,AVENIDA NIZA 55 B,40.43173953068984,-3.607628369908832,10.13,176.1,671.495849609375,moderado,24,-3.73
2025-12-16,40.37092,-3.69664,Parque Begoña,CALLE SAN MODESTO 1,40.48390626699566,-3.687220746230517,12.59,201.8,728.2556762695312,moderado,24,-8.77
2025-12-16,40.37092,-3.69664,Parque Biosaludable,PASEO ALAMEDA DE OSUNA 8,40.452057731817305,-3.6036483614197765,11.97,197.3,630.1353759765625,llano,24,-7.7
2025-12-16,40.37092,-3.69664,Parque Campo de la Paloma,AVENIDA RAFAEL ALBERTI 38,40.38339946706653,-3.643762543356842,4.69,88.5,660.8578491210938,moderado,24,10.46
2025-12-16,40.37092,-3.69664,Parque Caramuel,CALLE CARAMUEL 53,40.4081704733386,-3.729395994595502,4.99,87.6,608.00244140625,llano,24,10.26
2025-12-16,40.37092,-3.69664,Parque Cerro Almodóvar,CALLE MARCELINO CASTILLO 29,40.393928614376,-3.744713323980896,4.81,81.2,647.6132202148438,llano,24,11.07
2025-12-16,40.37092,-3.69664,Parque Cerro Peñabel,CALLE CANDIDO MATEOS 12,40.47406043289477,-3.718181785566969,11.61,186.9,659.907470703125,moderado,24,-6.31
2025-12-16,40.37092,-3.69664,Parque Cerro del Tío Pío,CALLE BENJAMIN PALENCIA 2,40.39701982315709,-3.655239797848888,4.55,90.1,672.2716064453125,moderado,24,10.44
2025-12-16,40.37092,-3.69664,Parque Cerro Águila,CAMINO CERRO DEL AGUILA 1,40.45190771190827,-3.761757187185669,10.56,187.9,628.789794921875,llano,24,-5.35
2025-12-16,40.37092,-3.69664,Parque Ciudad de los Ángeles,CALLE ANOETA 14 B,40.352850949880235,-3.6963807727286353,2.01,33.0,591.8182373046875,llano,24,18.69
2025-12-16,40.37092,-3.69664,Parque Cuesta del Galbán,CUESTA GALBAN 2,40.45019927443574,-3.768070614824996,10.69,172.7,619.6779174804688,llano,24,-3.96
2025-12-16,40.37092,-3.69664,Parque Cuña Verde de Vicálvaro. Zona A,AVENIDA DAROCA 300,40.40969329689759,-3.618025439807104,7.93,153.7,700.24169921875,moderado,24,0.7
2025-12-16,40.37092,-3.69664,Parque Cuña Verde de Vicálvaro. Zona B,AVENIDA DAROCA 299,40.40930295868704,-3.616890442862423,7.99,153.4,700.7607421875,moderado,24,0.67
2025-12-16,40.37092,-3.69664,Parque Cuña Verde de Vicálvaro. Zona C,AVENIDA CANILLEJAS A VICALVARO 102,40.41672706688541,-3.610853061814312,8.87,159.6,686.3956909179688,moderado,24,-0.83
